asset_id,asset_name,asset_type,owner,department,criticality,operating_system
AST387,SUP-WKS-015,Workstation,Ivan,Support,Medium,Windows 11
AST388,IT-IOT-003,IoT Device,John,IT,Low,Embedded Linux
AST389,ENG-MOB-005,Mobile Device,Sarah,Engineering,Low,Android
AST390,MKT-SRV-011,Server,David,Marketing,Critical,Linux
AST391,OPS-LAP-006,Laptop,Carlos,Operations,Medium,macOS
AST392,OPS-WKS-020,Workstation,Ivan,Operations,Medium,Windows 11
AST393,HR-SRV-006,Server,Ivan,HR,Critical,Windows Server 2022
AST394,LEG-LAP-011,Laptop,David,Legal,Medium,Windows 11
AST395,IT-LAP-008,Laptop,Elena,IT,Medium,Windows 10
AST396,LEG-SRV-007,Server,Victor,Legal,Critical,Windows Server 2022
AST397,ENG-LAP-007,Laptop,Priya,Engineering,Medium,Windows 10
AST398,ENG-IOT-002,IoT Device,Tariq,Engineering,Low,Embedded Linux
AST399,MKT-WKS-013,Workstation,Wei,Marketing,Medium,Windows 11
AST400,OPS-CLD-003,Cloud Instance,Carlos,Operations,High,Linux
AST401,SALES-WKS-017,Workstation,David,Sales,Medium,Windows 10
AST402,SUP-SRV-006,Server,Alex,Support,Critical,Linux
AST403,LEG-SRV-008,Server,Carlos,Legal,Critical,Windows Server 2022
AST404,MKT-NET-005,Network Device,Mei,Marketing,Critical,N/A
AST405,LEG-MOB-005,Mobile Device,Victor,Legal,Low,Android
AST406,ENG-NET-006,Network Device,Emma,Engineering,Critical,N/A
AST407,SUP-WKS-016,Workstation,Lucy,Support,Medium,Windows 11
AST408,SALES-SRV-002,Server,Mei,Sales,Critical,Windows Server 2022
AST409,SUP-LAP-009,Laptop,Priya,Support,Medium,macOS
AST410,LEG-WKS-014,Workstation,Wei,Legal,Medium,Windows 11
AST411,HR-WKS-019,Workstation,Alex,HR,Medium,Windows 11
AST412,OPS-MOB-005,Mobile Device,John,Operations,Low,Android
AST413,SALES-CLD-005,Cloud Instance,Victor,Sales,High,Linux
AST414,FIN-SRV-010,Server,Emma,Finance,Critical,Linux
AST415,SUP-LAP-010,Laptop,David,Support,Medium,Windows 10
AST416,ENG-MOB-006,Mobile Device,Elena,Engineering,Low,Android
AST417,FIN-SRV-011,Server,David,Finance,Critical,Windows Server 2022
AST418,SUP-NET-001,Network Device,Carlos,Support,Critical,N/A
AST419,FIN-SRV-012,Server,Fatima,Finance,Critical,Windows Server 2022
AST420,SALES-MOB-006,Mobile Device,Mei,Sales,Low,iOS
AST421,OPS-WKS-021,Workstation,Alex,Operations,Medium,Windows 11
AST422,SUP-WKS-017,Workstation,Grace,Support,Medium,Windows 10
AST423,HR-WKS-020,Workstation,Carlos,HR,Medium,Windows 11
AST424,SUP-SRV-007,Server,Lucy,Support,Critical,Windows Server 2022
AST425,ENG-LAP-008,Laptop,Priya,Engineering,Medium,macOS
AST426,IT-SRV-010,Server,John,IT,Critical,Linux
AST427,HR-NET-005,Network Device,Ramesh,HR,Critical,N/A
AST428,OPS-LAP-007,Laptop,Sarah,Operations,Medium,Windows 10
AST429,SALES-NET-005,Network Device,Omar,Sales,Critical,N/A
AST430,FIN-MOB-007,Mobile Device,Omar,Finance,Low,iOS
AST431,SUP-MOB-005,Mobile Device,Nina,Support,Low,Android
AST432,ENG-LAP-009,Laptop,Grace,Engineering,Medium,Windows 11
AST433,HR-MOB-007,Mobile Device,Lucy,HR,Low,iOS
AST434,SUP-LAP-011,Laptop,Victor,Support,Medium,macOS
AST435,OPS-LAP-008,Laptop,Mei,Operations,Medium,Windows 10
AST436,FIN-LAP-009,Laptop,Nina,Finance,Medium,Windows 11
AST437,IT-SRV-011,Server,Sarah,IT,Critical,Linux
AST438,ENG-NET-007,Network Device,Grace,Engineering,Critical,N/A
AST439,HR-LAP-009,Laptop,John,HR,Medium,Windows 10
AST440,HR-WKS-021,Workstation,Elena,HR,Medium,Windows 11
AST441,HR-MOB-008,Mobile Device,Elena,HR,Low,iOS
AST442,IT-SRV-012,Server,David,IT,Critical,Linux
AST443,HR-SRV-007,Server,Emma,HR,Critical,Windows Server 2022
AST444,FIN-SRV-013,Server,Fatima,Finance,Critical,Linux
AST445,FIN-IOT-005,IoT Device,Lucy,Finance,Low,N/A
AST446,IT-MOB-004,Mobile Device,Nina,IT,Low,iOS
AST447,IT-LAP-009,Laptop,John,IT,Medium,Windows 11
AST448,ENG-SRV-003,Server,Mei,Engineering,Critical,Linux
AST449,OPS-WKS-022,Workstation,Fatima,Operations,Medium,Windows 10
AST450,ENG-LAP-010,Laptop,Wei,Engineering,Medium,Windows 10
AST451,IT-LAP-010,Laptop,Grace,IT,Medium,Windows 11
AST452,FIN-WKS-016,Workstation,David,Finance,Medium,Windows 11
AST453,IT-SRV-013,Server,John,IT,Critical,Windows Server 2022
AST454,HR-NET-006,Network Device,Priya,HR,Critical,N/A
AST455,SALES-MOB-007,Mobile Device,Mei,Sales,Low,Android
AST456,HR-WKS-022,Workstation,Carlos,HR,Medium,Windows 10
AST457,IT-IOT-004,IoT Device,Alex,IT,Low,Embedded Linux
AST458,FIN-WKS-017,Workstation,Carlos,Finance,Medium,Windows 11
AST459,MKT-IOT-003,IoT Device,Sarah,Marketing,Low,N/A
AST460,HR-WKS-023,Workstation,Wei,HR,Medium,Windows 10
AST461,MKT-LAP-008,Laptop,Emma,Marketing,Medium,macOS
AST462,SUP-SRV-008,Server,Lucy,Support,Critical,Windows Server 2022
AST463,SUP-LAP-012,Laptop,Alex,Support,Medium,Windows 10
AST464,FIN-LAP-010,Laptop,Emma,Finance,Medium,macOS
AST465,ENG-LAP-011,Laptop,Victor,Engineering,Medium,Windows 11
AST466,LEG-WKS-015,Workstation,Elena,Legal,Medium,Windows 10
AST467,LEG-MOB-006,Mobile Device,Alex,Legal,Low,Android
AST468,MKT-SRV-012,Server,Wei,Marketing,Critical,Linux
AST469,ENG-NET-008,Network Device,Carlos,Engineering,Critical,N/A
AST470,MKT-NET-006,Network Device,Victor,Marketing,Critical,N/A
AST471,MKT-LAP-009,Laptop,Sarah,Marketing,Medium,macOS
AST472,MKT-MOB-005,Mobile Device,Victor,Marketing,Low,Android
AST473,OPS-NET-001,Network Device,Lucy,Operations,Critical,N/A
AST474,OPS-WKS-023,Workstation,Wei,Operations,Medium,Windows 11
AST475,SALES-MOB-008,Mobile Device,Nina,Sales,Low,Android
AST476,HR-SRV-008,Server,David,HR,Critical,Windows Server 2022
AST477,MKT-SRV-013,Server,Wei,Marketing,Critical,Linux
AST478,SUP-SRV-009,Server,Priya,Support,Critical,Windows Server 2022
AST479,SALES-LAP-021,Laptop,Victor,Sales,Medium,macOS
AST480,OPS-LAP-009,Laptop,Tariq,Operations,Medium,macOS
AST481,SALES-WKS-018,Workstation,Priya,Sales,Medium,Windows 10
AST482,IT-MOB-005,Mobile Device,Lucy,IT,Low,iOS
AST483,LEG-LAP-012,Laptop,Alex,Legal,Medium,macOS
AST484,SALES-WKS-019,Workstation,Lucy,Sales,Medium,Windows 11
AST485,FIN-LAP-011,Laptop,Priya,Finance,Medium,Windows 11
AST486,IT-LAP-011,Laptop,Lucy,IT,Medium,Windows 10
AST487,MKT-LAP-010,Laptop,Ramesh,Marketing,Medium,Windows 10
AST488,HR-WKS-024,Workstation,Tariq,HR,Medium,Windows 11
AST489,SALES-WKS-020,Workstation,Fatima,Sales,Medium,Windows 11
AST490,FIN-CLD-005,Cloud Instance,Victor,Finance,High,Linux
AST491,HR-LAP-010,Laptop,Wei,HR,Medium,Windows 10
AST492,FIN-WKS-018,Workstation,Grace,Finance,Medium,Windows 10
AST493,LEG-MOB-007,Mobile Device,Mei,Legal,Low,iOS
AST494,FIN-MOB-008,Mobile Device,Ramesh,Finance,Low,iOS
AST495,FIN-WKS-019,Workstation,Priya,Finance,Medium,Windows 10
AST496,OPS-LAP-010,Laptop,Emma,Operations,Medium,Windows 11
AST497,LEG-CLD-006,Cloud Instance,Emma,Legal,High,Linux
AST498,HR-CLD-005,Cloud Instance,Sarah,HR,High,Linux
AST499,OPS-IOT-003,IoT Device,Victor,Operations,Low,N/A
AST500,OPS-NET-002,Network Device,Sarah,Operations,Critical,N/A
